id,name,description,short_description,created_at,updated_at
1,stench,"This Pokémon's damaging moves have a 10% chance to make the target flinch with each hit if they do not already cause flinching as a secondary effect.

This ability does not stack with a held item.

Overworld: The wild encounter rate is halved while this Pokémon is first in the party.",Has a 10% chance of making target Pokémon flinch with each hit.,2020-11-05 21:13:36.909458,2020-11-05 21:13:36.909458
2,drizzle,"The weather changes to rain when this Pokémon enters battle and does not end unless replaced by another weather condition.

If multiple Pokémon with this ability, drought, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",Summons rain that lasts indefinitely upon entering battle.,2020-11-05 21:13:37.127516,2020-11-05 21:13:37.127516
3,speed_boost,This Pokémon's Speed rises one stage after each turn.,Raises Speed one stage after each turn.,2020-11-05 21:13:37.353636,2020-11-05 21:13:37.353636
4,battle_armor,"Moves cannot score critical hits against this Pokémon.

This ability functions identically to shell armor.",Protects against critical hits.,2020-11-05 21:13:37.58366,2020-11-05 21:13:37.58366
5,sturdy,"When this Pokémon is at full HP, any hit that would knock it out will instead leave it with 1 HP.  Regardless of its current HP, it is also immune to the one-hit KO moves: fissure, guillotine, horn drill, and sheer cold.

If this Pokémon is holding a focus sash, this ability takes precedence and the item will not be consumed.","Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP.",2020-11-05 21:13:37.85454,2020-11-05 21:13:37.85454
6,damp,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.","Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle.",2020-11-05 21:13:38.122123,2020-11-05 21:13:38.122123
7,limber,"This Pokémon cannot be paralyzed.

If a Pokémon is paralyzed and acquires this ability, its paralysis is healed; this includes when regaining a lost ability upon leaving battle.",Prevents paralysis.,2020-11-05 21:13:38.34766,2020-11-05 21:13:38.34766
8,sand_veil,"During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type.

The evasion bonus does not count as a stat modifier.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.,2020-11-05 21:13:39.323138,2020-11-05 21:13:39.323138
9,static,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed.

Pokémon that are immune to electric-type moves can still be paralyzed by this ability.

Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable.",Has a 30% chance of paralyzing attacking Pokémon on contact.,2020-11-05 21:13:40.039658,2020-11-05 21:13:40.039658
10,volt_absorb,"Whenever an electric-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

This ability will not take effect if this Pokémon is ground-type and thus immune to Electric moves.  Electric moves will ignore this Pokémon's substitute.

This effect includes non-damaging moves, i.e. thunder wave.","Absorbs electric moves, healing for 1/4 max HP.",2020-11-05 21:13:40.290594,2020-11-05 21:13:40.290594
11,water_absorb,"Whenever a water-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

Water moves will ignore this Pokémon's substitute.","Absorbs water moves, healing for 1/4 max HP.",2020-11-05 21:13:40.612464,2020-11-05 21:13:40.612464
12,oblivious,"This Pokémon cannot be infatuated and is immune to captivate.

If a Pokémon is infatuated and acquires this ability, its infatuation is cleared.",Prevents infatuation and protects against captivate.,2020-11-05 21:13:41.319512,2020-11-05 21:13:41.319512
13,cloud_nine,"While this Pokémon is in battle, weather can still be in play, but will not have any of its effects.

This ability functions identically to air lock.","Negates all effects of weather, but does not prevent the weather itself.",2020-11-05 21:13:41.583555,2020-11-05 21:13:41.583555
14,compound_eyes,"This Pokémon's moves have 1.3× their accuracy.

This ability has no effect on the one-hit KO moves (fissure, guillotine, horn drill, and sheer cold).

Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised from 50%, 5%, or 1% to 60%, 20%, or 5%, respectively.",Increases moves' accuracy to 1.3×.,2020-11-05 21:13:41.862911,2020-11-05 21:13:41.862911
15,insomnia,"This Pokémon cannot be asleep.

This causes rest to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.

This ability functions identically to vital spirit in battle.",Prevents sleep.,2020-11-05 21:13:42.594325,2020-11-05 21:13:42.594325
16,color_change,"Whenever this Pokémon takes damage from a move, the Pokémon's type changes to match the move.

If the Pokémon has two types, both are overridden.  The Pokémon must directly take damage; for example, moves blocked by a substitute will not trigger this ability, nor will moves that deal damage indirectly, such as spikes.

This ability takes effect on only the last hit of a multiple-hit attack.

In Pokémon Colosseum and XD: Gale of Darkness, this ability does not take effect on Shadow-type moves.",Changes type to match when hit by a damaging move.,2020-11-05 21:13:43.521443,2020-11-05 21:13:43.521443
17,immunity,"This Pokémon cannot be poisoned.  This includes bad poison.

If a Pokémon is poisoned and acquires this ability, its poison is healed; this includes when regaining a lost ability upon leaving battle.",Prevents poison.,2020-11-05 21:13:43.753989,2020-11-05 21:13:43.753989
18,flash_fire,"This Pokémon is immune to fire-type moves.  Once this Pokémon has been hit by a Fire move, its own Fire moves will inflict 1.5× as much damage until it leaves battle.

This ability has no effect while the Pokémon is frozen.  The Fire damage bonus is retained even if the Pokémon is frozen and thawed or the ability is lost or disabled.  Fire moves will ignore this Pokémon's substitute.  This ability takes effect even on non-damaging moves, i.e. will o wisp.","Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle.",2020-11-05 21:13:44.441886,2020-11-05 21:13:44.441886
19,shield_dust,"This Pokémon is immune to the extra effects of moves used against it.

An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.",Protects against incoming moves' extra effects.,2020-11-05 21:13:44.690802,2020-11-05 21:13:44.690802
20,own_tempo,"This Pokémon cannot be confused.

If a Pokémon is confused and acquires this ability, its confusion will immediately be healed.",Prevents confusion.,2020-11-05 21:13:44.898765,2020-11-05 21:13:44.898765
21,suction_cups,"This Pokémon cannot be forced out of battle by moves such as whirlwind.

dragon tail and circle throw still inflict damage against this Pokémon.

Overworld: If the lead Pokémon has this ability, the success rate while fishing is increased.",Prevents being forced out of battle by other Pokémon's moves.,2020-11-05 21:13:45.777963,2020-11-05 21:13:45.777963
22,intimidate,"When this Pokémon enters battle, the opponent's Attack is lowered by one stage.  In a double battle, both opponents are affected.

This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle.

This ability has no effect on an opponent that has a substitute.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",Lowers opponents' Attack one stage upon entering battle.,2020-11-05 21:13:45.995912,2020-11-05 21:13:45.995912
23,shadow_tag,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.

Other Pokémon with this ability are unaffected.  Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.",Prevents opponents from fleeing or switching out.,2020-11-05 21:13:46.208498,2020-11-05 21:13:46.208498
24,rough_skin,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to iron barbs.",Damages attacking Pokémon for 1/8 their max HP on contact.,2020-11-05 21:13:46.427043,2020-11-05 21:13:46.427043
25,wonder_guard,"This Pokémon is immune to damaging moves that are not super effective against it.

Moves that inflict fixed damage, such as night shade or seismic toss, are considered super effective if their types are.  Damage not directly dealt by moves, such as damage from weather, a status ailment, or spikes, is not prevented.

This ability cannot be copied with role play or traded away with skill swap, but it can be copied with trace, disabled with gastro acid, or changed with worry seed.  This Pokémon can still use Role Play itself to lose this ability, but not Skill Swap.

If this Pokémon has a substitute, this ability will block moves as usual and any moves not blocked will react to the Substitute as usual.",Protects against damaging moves that are not super effective.,2020-11-05 21:13:47.31173,2020-11-05 21:13:47.31173
26,levitate,"This Pokémon is immune to ground-type moves, spikes, toxic spikes, and arena trap.

This ability is disabled during gravity or ingrain, or while holding an iron ball.  This ability is not disabled during roost.",Evades ground moves.,2020-11-05 21:13:47.573569,2020-11-05 21:13:47.573569
