id,pokemon_id,ability_id,is_hidden,created_at,updated_at
1,1,65,f,2020-11-05 21:16:19.598591,2020-11-05 21:16:19.598591
2,1,34,t,2020-11-05 21:16:19.667009,2020-11-05 21:16:19.667009
3,2,65,f,2020-11-05 21:16:20.551194,2020-11-05 21:16:20.551194
4,2,34,t,2020-11-05 21:16:20.633859,2020-11-05 21:16:20.633859
5,3,65,f,2020-11-05 21:16:21.290208,2020-11-05 21:16:21.290208
6,3,34,t,2020-11-05 21:16:21.374888,2020-11-05 21:16:21.374888
7,4,66,f,2020-11-05 21:16:22.000583,2020-11-05 21:16:22.000583
8,4,94,t,2020-11-05 21:16:22.084229,2020-11-05 21:16:22.084229
9,5,66,f,2020-11-05 21:16:22.69347,2020-11-05 21:16:22.69347
10,5,94,t,2020-11-05 21:16:22.758688,2020-11-05 21:16:22.758688
11,6,66,f,2020-11-05 21:16:23.490621,2020-11-05 21:16:23.490621
12,6,94,t,2020-11-05 21:16:23.570568,2020-11-05 21:16:23.570568
13,7,67,f,2020-11-05 21:16:24.12286,2020-11-05 21:16:24.12286
14,7,44,t,2020-11-05 21:16:24.212964,2020-11-05 21:16:24.212964
15,8,67,f,2020-11-05 21:16:24.815268,2020-11-05 21:16:24.815268
16,8,44,t,2020-11-05 21:16:24.901933,2020-11-05 21:16:24.901933
17,9,67,f,2020-11-05 21:16:25.693265,2020-11-05 21:16:25.693265
18,9,44,t,2020-11-05 21:16:25.771466,2020-11-05 21:16:25.771466
19,10,19,f,2020-11-05 21:16:26.314951,2020-11-05 21:16:26.314951
20,10,50,t,2020-11-05 21:16:26.458312,2020-11-05 21:16:26.458312
21,11,61,f,2020-11-05 21:16:27.071095,2020-11-05 21:16:27.071095
22,12,14,f,2020-11-05 21:16:27.710152,2020-11-05 21:16:27.710152
23,12,110,t,2020-11-05 21:16:27.817164,2020-11-05 21:16:27.817164
24,13,19,f,2020-11-05 21:16:28.502578,2020-11-05 21:16:28.502578
25,13,50,t,2020-11-05 21:16:28.590469,2020-11-05 21:16:28.590469
26,14,61,f,2020-11-05 21:16:29.243287,2020-11-05 21:16:29.243287
27,15,68,f,2020-11-05 21:16:29.924484,2020-11-05 21:16:29.924484
28,15,97,t,2020-11-05 21:16:30.005726,2020-11-05 21:16:30.005726
29,16,51,f,2020-11-05 21:16:30.784698,2020-11-05 21:16:30.784698
30,16,77,f,2020-11-05 21:16:30.898494,2020-11-05 21:16:30.898494
31,16,145,t,2020-11-05 21:16:30.976302,2020-11-05 21:16:30.976302
32,17,51,f,2020-11-05 21:16:31.73497,2020-11-05 21:16:31.73497
33,17,77,f,2020-11-05 21:16:31.838491,2020-11-05 21:16:31.838491
34,17,145,t,2020-11-05 21:16:31.924539,2020-11-05 21:16:31.924539
35,18,51,f,2020-11-05 21:16:32.757909,2020-11-05 21:16:32.757909
36,18,77,f,2020-11-05 21:16:32.841819,2020-11-05 21:16:32.841819
37,18,145,t,2020-11-05 21:16:32.946743,2020-11-05 21:16:32.946743
38,19,50,f,2020-11-05 21:16:33.622058,2020-11-05 21:16:33.622058
39,19,62,f,2020-11-05 21:16:33.70268,2020-11-05 21:16:33.70268
40,19,55,t,2020-11-05 21:16:33.783017,2020-11-05 21:16:33.783017
41,20,50,f,2020-11-05 21:16:34.36615,2020-11-05 21:16:34.36615
42,20,62,f,2020-11-05 21:16:34.425006,2020-11-05 21:16:34.425006
43,20,55,t,2020-11-05 21:16:34.485264,2020-11-05 21:16:34.485264
44,21,51,f,2020-11-05 21:16:34.997302,2020-11-05 21:16:34.997302
45,21,97,t,2020-11-05 21:16:35.052825,2020-11-05 21:16:35.052825
46,22,51,f,2020-11-05 21:16:35.847603,2020-11-05 21:16:35.847603
47,22,97,t,2020-11-05 21:16:35.949138,2020-11-05 21:16:35.949138
48,23,22,f,2020-11-05 21:16:36.638933,2020-11-05 21:16:36.638933
