id,pokemon_id,back_default,back_female,back_shiny,back_shiny_female,front_default,front_female,front_shiny,front_shiny_female,gen_eight_front_default,gen_eight_front_shiny,created_at,updated_at
1,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/1.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/1.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png,,https://www.serebii.net/swordshield/pokemon/001.png,https://www.serebii.net/Shiny/SWSH/001.png,2020-11-05 21:16:19.898783,2020-11-05 21:16:19.898783
2,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/2.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/2.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/2.png,,https://www.serebii.net/swordshield/pokemon/002.png,https://www.serebii.net/Shiny/SWSH/002.png,2020-11-05 21:16:20.703194,2020-11-05 21:16:20.703194
3,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/female/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/female/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/3.png,https://www.serebii.net/swordshield/pokemon/003.png,https://www.serebii.net/Shiny/SWSH/003.png,2020-11-05 21:16:21.43698,2020-11-05 21:16:21.43698
4,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/4.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/4.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/4.png,,https://www.serebii.net/swordshield/pokemon/004.png,https://www.serebii.net/Shiny/SWSH/004.png,2020-11-05 21:16:22.165285,2020-11-05 21:16:22.165285
5,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/5.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/5.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/5.png,,https://www.serebii.net/swordshield/pokemon/005.png,https://www.serebii.net/Shiny/SWSH/005.png,2020-11-05 21:16:22.819634,2020-11-05 21:16:22.819634
6,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/6.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/6.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/6.png,,https://www.serebii.net/swordshield/pokemon/006.png,https://www.serebii.net/Shiny/SWSH/006.png,2020-11-05 21:16:23.635239,2020-11-05 21:16:23.635239
7,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/7.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/7.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/7.png,,https://www.serebii.net/swordshield/pokemon/007.png,https://www.serebii.net/Shiny/SWSH/007.png,2020-11-05 21:16:24.276205,2020-11-05 21:16:24.276205
8,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/8.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/8.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/8.png,,https://www.serebii.net/swordshield/pokemon/008.png,https://www.serebii.net/Shiny/SWSH/008.png,2020-11-05 21:16:24.97491,2020-11-05 21:16:24.97491
9,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/9.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/9.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/9.png,,https://www.serebii.net/swordshield/pokemon/009.png,https://www.serebii.net/Shiny/SWSH/009.png,2020-11-05 21:16:25.815395,2020-11-05 21:16:25.815395
10,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/10.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/10.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/10.png,,https://www.serebii.net/swordshield/pokemon/010.png,https://www.serebii.net/Shiny/SWSH/010.png,2020-11-05 21:16:26.535672,2020-11-05 21:16:26.535672
